Inst,citingDOI,CR,citedDOI,title,journal_book,date,issn1,issn1Type,issn2,issn2Type,isbn
Houston,10.1080/00206814.2016.1214087,"[?? WANG Jian], 2007, [????, Geological Bulletin of China], V26, P404",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
CUBoulder,10.1002/joc.3609,"[?? Wei Hong], 2004, [??????. ?????, Journal of Lanzhou University.Natural Science], V20, P97",nan,nan,Journal of Lanzhou University.Natural Science],nan,nan,nan,nan,nan,nan
CUBoulder,10.1080/01431161.2018.1466075,"[?? Yan Wei], 2014, [??????, Progress in Geography], V33, P315",nan,nan,Progress in Geography],nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.gloplacha.2017.07.011,"[?? Yang Yong], 2013, [????, Journal of Glaciology and Geocryology], V35, P1545",nan,nan,Journal of Glaciology and Geocryology],nan,nan,nan,nan,nan,nan
Houston,10.1080/00206814.2016.1214087,"[??? BAI Zhi-da], 2009, [????, Geological Bulletin of China], V28, P1229",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
CUBoulder,10.1080/01431161.2018.1466075,"[??? CAI Di-hua], 2009, [????, Journal of Glaciology and Geocryology], V31, P1028",nan,nan,Journal of Glaciology and Geocryology],nan,nan,nan,nan,nan,nan
CUBoulder,10.1080/01431161.2018.1466075,"[??? CAO Yungang], 2007, [????, Science & Technology Review], V25, P51",nan,nan,Science & Technology Review],nan,nan,nan,nan,nan,nan
Houston,10.1080/00206814.2016.1214087,"[??? Chen Guorong], 2004, [????, Geological Bulletin of China], V23, P193",nan,nan,Geological Bulletin of China],nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.gloplacha.2017.07.011,"[??? CHEN Rensheng], 2010, [??????, Advance in Earth Sciences], V25, P255",nan,nan,Advance in Earth Sciences],nan,nan,nan,nan,nan,nan
CUBoulder,10.1016/j.gloplacha.2017.07.011,"[??? Chen Rensheng], 2014, [??????, Advance in Earth Sciences], V29, P507",nan,nan,Advance in Earth Sciences],nan,nan,nan,nan,nan,nan
